stem,true_type,split,image_path,label_path,coloured_label_path,orig_width,orig_height,crop_target_width,crop_target_height,crop_note,orig_color_mode,tin_present,tin_pixel_count,tin_pixel_pct,total_pixels,px_Fe2B,pct_Fe2B,px_FeTiB,pct_FeTiB,px_Alpha,pct_Alpha,px_TiB2,pct_TiB2,px_TiN,pct_TiN
Class_III_C104F2x10000_5,III,val,images_class3\Class_III_C104F2x10000_5.jpg,labels\labels\Class_III_C104F2x10000_5.png,labels\coloured_labels\Class_III_C104F2x10000_5.png,1280,1024,1280,959,crop_bottom_65px,L,True,1101,0.089693,1227520,462125,37.647044,0,0.0,718980,58.571754,45314,3.691508,1101,0.089693
Class_III_C104F2x10000_7,III,train,images_class3\Class_III_C104F2x10000_7.jpg,labels\labels\Class_III_C104F2x10000_7.png,labels\coloured_labels\Class_III_C104F2x10000_7.png,1280,1024,1280,959,crop_bottom_65px,L,True,2222,0.181015,1227520,322016,26.233055,0,0.0,744024,60.611966,159258,12.973964,2222,0.181015
Class_III_C157F2x10000,III,train,images_class3\Class_III_C157F2x10000.jpg,labels\labels\Class_III_C157F2x10000.png,labels\coloured_labels\Class_III_C157F2x10000.png,1280,1024,1280,959,crop_bottom_65px,L,True,3378,0.275189,1227520,328601,26.769503,0,0.0,882108,71.860988,13433,1.09432,3378,0.275189
Class_III_C157F2x10000_2,III,train,images_class3\Class_III_C157F2x10000_2.jpg,labels\labels\Class_III_C157F2x10000_2.png,labels\coloured_labels\Class_III_C157F2x10000_2.png,1280,1024,1280,959,crop_bottom_65px,L,True,2457,0.20016,1227520,392859,32.004285,0,0.0,819575,66.766733,12629,1.028822,2457,0.20016
Class_III_C157F2x10000_3,III,test,images_class3\Class_III_C157F2x10000_3.jpg,labels\labels\Class_III_C157F2x10000_3.png,labels\coloured_labels\Class_III_C157F2x10000_3.png,1280,1024,1280,959,crop_bottom_65px,L,True,4056,0.330422,1227520,310923,25.329363,0,0.0,894073,72.835718,18468,1.504497,4056,0.330422
Class_III_C157F3x10000_2,III,test,images_class3\Class_III_C157F3x10000_2.jpg,labels\labels\Class_III_C157F3x10000_2.png,labels\coloured_labels\Class_III_C157F3x10000_2.png,1280,1024,1280,959,crop_bottom_65px,L,True,3034,0.247165,1227520,326255,26.578386,0,0.0,840317,68.456481,57914,4.717968,3034,0.247165
Class_III_C157F3x10000_3,III,train,images_class3\Class_III_C157F3x10000_3.jpg,labels\labels\Class_III_C157F3x10000_3.png,labels\coloured_labels\Class_III_C157F3x10000_3.png,1280,1024,1280,959,crop_bottom_65px,L,True,3017,0.24578,1227520,226416,18.444995,0,0.0,954971,77.796777,43116,3.512448,3017,0.24578
Class_III_C157F3x10000_4,III,val,images_class3\Class_III_C157F3x10000_4.jpg,labels\labels\Class_III_C157F3x10000_4.png,labels\coloured_labels\Class_III_C157F3x10000_4.png,1280,1024,1280,959,crop_bottom_65px,L,True,3313,0.269894,1227520,241948,19.71031,0,0.0,904905,73.718147,77354,6.301649,3313,0.269894
Class_III_C157F3x10001,III,train,images_class3\Class_III_C157F3x10001.jpg,labels\labels\Class_III_C157F3x10001.png,labels\coloured_labels\Class_III_C157F3x10001.png,1280,1024,1280,959,crop_bottom_65px,L,True,2950,0.240322,1227520,295368,24.062174,0,0.0,911696,74.271376,17506,1.426127,2950,0.240322
Class_III_C158F2x10000,III,train,images_class3\Class_III_C158F2x10000.jpg,labels\labels\Class_III_C158F2x10000.png,labels\coloured_labels\Class_III_C158F2x10000.png,1280,1024,1280,959,crop_bottom_65px,L,True,2372,0.193235,1227520,336966,27.450958,0,0.0,866322,70.57498,21860,1.780826,2372,0.193235
Class_III_C158F2x10000_2,III,train,images_class3\Class_III_C158F2x10000_2.jpg,labels\labels\Class_III_C158F2x10000_2.png,labels\coloured_labels\Class_III_C158F2x10000_2.png,1280,1024,1280,959,crop_bottom_65px,L,True,3928,0.319995,1227520,409195,33.335098,0,0.0,786351,64.060138,28046,2.284769,3928,0.319995
Class_III_C158F2x10000_3,III,train,images_class3\Class_III_C158F2x10000_3.jpg,labels\labels\Class_III_C158F2x10000_3.png,labels\coloured_labels\Class_III_C158F2x10000_3.png,1280,1024,1280,959,crop_bottom_65px,L,True,2364,0.192583,1227520,365875,29.806032,0,0.0,841356,68.541124,17925,1.460261,2364,0.192583
Class_III_C26F2x10000,III,train,images_class2\Class_III_C26F2x10000.jpg,labels\labels\Class_III_C26F2x10000.png,labels\coloured_labels\Class_III_C26F2x10000.png,1280,1024,1280,959,crop_bottom_65px,L,True,2672,0.217675,1227520,336925,27.447618,0,0.0,810954,66.064423,76969,6.270285,2672,0.217675
Class_III_C27F2x10000,III,train,images_class2\Class_III_C27F2x10000.jpg,labels\labels\Class_III_C27F2x10000.png,labels\coloured_labels\Class_III_C27F2x10000.png,1280,1024,1280,959,crop_bottom_65px,L,True,2998,0.244232,1227520,294256,23.971585,0,0.0,837720,68.244917,92546,7.539266,2998,0.244232
Class_III_C27F2x15000,III,train,images_class2\Class_III_C27F2x15000.jpg,labels\labels\Class_III_C27F2x15000.png,labels\coloured_labels\Class_III_C27F2x15000.png,1280,1024,1280,959,crop_bottom_65px,L,True,285,0.023218,1227520,446909,36.407472,0,0.0,777736,63.358316,2590,0.210995,285,0.023218
Class_III_C28F2x10000,III,test,images_class2\Class_III_C28F2x10000.jpg,labels\labels\Class_III_C28F2x10000.png,labels\coloured_labels\Class_III_C28F2x10000.png,1280,1024,1280,959,crop_bottom_65px,RGB,True,68,0.00554,1227520,307360,25.039103,0,0.0,913102,74.385916,6990,0.569441,68,0.00554
Class_III_C28F2x10000_2,III,train,images_class2\Class_III_C28F2x10000_2.jpg,labels\labels\Class_III_C28F2x10000_2.png,labels\coloured_labels\Class_III_C28F2x10000_2.png,1280,1024,1280,959,crop_bottom_65px,L,True,896,0.072993,1227520,268039,21.835815,0,0.0,919123,74.876417,39462,3.214775,896,0.072993
Class_III_C28F2x15000,III,train,images_class2\Class_III_C28F2x15000.jpg,labels\labels\Class_III_C28F2x15000.png,labels\coloured_labels\Class_III_C28F2x15000.png,1280,1024,1280,959,crop_bottom_65px,RGB,True,1414,0.115192,1227520,127664,10.400156,0,0.0,1020834,83.162311,77608,6.322341,1414,0.115192
Class_III_C39F2x100001,III,train,images_class2\Class_III_C39F2x100001.jpg,labels\labels\Class_III_C39F2x100001.png,labels\coloured_labels\Class_III_C39F2x100001.png,1280,1024,1280,959,crop_bottom_65px,L,False,0,0.0,1227520,776662,63.270822,0,0.0,450858,36.729178,0,0.0,0,0.0
Class_III_C39F2x10000_2,III,val,images_class2\Class_III_C39F2x10000_2.jpg,labels\labels\Class_III_C39F2x10000_2.png,labels\coloured_labels\Class_III_C39F2x10000_2.png,1280,1024,1280,959,crop_bottom_65px,L,True,8867,0.722351,1227520,67340,5.485858,0,0.0,944515,76.944978,206798,16.846813,8867,0.722351
Class_III_C39F3x10000,III,test,images_class2\Class_III_C39F3x10000.jpg,labels\labels\Class_III_C39F3x10000.png,labels\coloured_labels\Class_III_C39F3x10000.png,1280,1024,1280,959,crop_bottom_65px,L,True,9953,0.810822,1227520,590866,48.134939,0,0.0,595201,48.48809,31500,2.56615,9953,0.810822
Class_III_C39F3x10000_2,III,train,images_class2\Class_III_C39F3x10000_2.jpg,labels\labels\Class_III_C39F3x10000_2.png,labels\coloured_labels\Class_III_C39F3x10000_2.png,1280,1024,1280,959,crop_bottom_65px,L,True,13533,1.102467,1227520,160165,13.047853,0,0.0,821225,66.90115,232597,18.94853,13533,1.102467
Class_II_C104F3F4x10000,II,train,images_class2\Class_II_C104F3F4x10000.jpg,labels\labels\Class_II_C104F3F4x10000.png,labels\coloured_labels\Class_II_C104F3F4x10000.png,1280,1024,1280,959,crop_bottom_65px,L,True,3474,0.28301,1227520,0,0.0,0,0.0,897984,73.154327,326062,26.562663,3474,0.28301
Class_II_C104F3F4x100003,II,train,images_class2\Class_II_C104F3F4x100003.jpg,labels\labels\Class_II_C104F3F4x100003.png,labels\coloured_labels\Class_II_C104F3F4x100003.png,1280,1024,1280,959,crop_bottom_65px,L,True,4520,0.368222,1227520,0,0.0,0,0.0,1056729,86.0865,166271,13.545278,4520,0.368222
Class_II_C104F3F4x10000_2,II,test,images_class2\Class_II_C104F3F4x10000_2.jpg,labels\labels\Class_II_C104F3F4x10000_2.png,labels\coloured_labels\Class_II_C104F3F4x10000_2.png,1280,1024,1280,959,crop_bottom_65px,L,True,8503,0.692697,1227520,0,0.0,0,0.0,878733,71.586043,340284,27.721259,8503,0.692697
Class_II_C14F3x10000,II,val,images_class2\Class_II_C14F3x10000.jpg,labels\labels\Class_II_C14F3x10000.png,labels\coloured_labels\Class_II_C14F3x10000.png,1280,1024,1280,959,crop_bottom_65px,L,True,4357,0.354943,1227520,0,0.0,0,0.0,1059283,86.294561,163880,13.350495,4357,0.354943
Class_II_C158F3x10000,II,test,images_class2\Class_II_C158F3x10000.jpg,labels\labels\Class_II_C158F3x10000.png,labels\coloured_labels\Class_II_C158F3x10000.png,1280,1024,1280,959,crop_bottom_65px,L,True,4684,0.381582,1227520,0,0.0,0,0.0,1027243,83.684421,195593,15.933997,4684,0.381582
Class_II_C158F3x10000_2,II,train,images_class2\Class_II_C158F3x10000_2.jpg,labels\labels\Class_II_C158F3x10000_2.png,labels\coloured_labels\Class_II_C158F3x10000_2.png,1280,1024,1280,959,crop_bottom_65px,L,True,4493,0.366023,1227520,0,0.0,0,0.0,999115,81.392971,223912,18.241006,4493,0.366023
Class_II_C158F3x5000,II,train,images_class2\Class_II_C158F3x5000.jpg,labels\labels\Class_II_C158F3x5000.png,labels\coloured_labels\Class_II_C158F3x5000.png,1280,1024,1280,959,crop_bottom_65px,L,True,5281,0.430217,1227520,0,0.0,0,0.0,977400,79.623957,244839,19.945826,5281,0.430217
Class_II_C158F4x10000,II,val,images_class2\Class_II_C158F4x10000.jpg,labels\labels\Class_II_C158F4x10000.png,labels\coloured_labels\Class_II_C158F4x10000.png,1280,1024,1280,959,crop_bottom_65px,L,True,4430,0.36089,1227520,0,0.0,0,0.0,1022040,83.260558,201050,16.378552,4430,0.36089
Class_II_C158F4x10000_2,II,val,images_class2\Class_II_C158F4x10000_2.jpg,labels\labels\Class_II_C158F4x10000_2.png,labels\coloured_labels\Class_II_C158F4x10000_2.png,1280,1024,1280,959,crop_bottom_65px,L,True,5683,0.462966,1227520,0,0.0,0,0.0,1037790,84.543633,184047,14.993401,5683,0.462966
Class_II_C158F4x10000_3,II,test,images_class2\Class_II_C158F4x10000_3.jpg,labels\labels\Class_II_C158F4x10000_3.png,labels\coloured_labels\Class_II_C158F4x10000_3.png,1280,1024,1280,959,crop_bottom_65px,L,True,3897,0.317469,1227520,0,0.0,0,0.0,1050771,85.601131,172852,14.0814,3897,0.317469
Class_II_C26F3x10000,II,train,images_class2\Class_II_C26F3x10000.jpg,labels\labels\Class_II_C26F3x10000.png,labels\coloured_labels\Class_II_C26F3x10000.png,1280,1024,1280,959,crop_bottom_65px,L,True,2763,0.225088,1227520,0,0.0,0,0.0,1038833,84.628601,185924,15.146311,2763,0.225088
Class_II_C27F3x10000,II,train,images_class2\Class_II_C27F3x10000.jpg,labels\labels\Class_II_C27F3x10000.png,labels\coloured_labels\Class_II_C27F3x10000.png,1280,1024,1280,959,crop_bottom_65px,RGB,True,3198,0.260525,1227520,0,0.0,0,0.0,1048325,85.401867,175997,14.337608,3198,0.260525
Class_II_C29F3x10000,II,train,images_class2\Class_II_C29F3x10000.jpg,labels\labels\Class_II_C29F3x10000.png,labels\coloured_labels\Class_II_C29F3x10000.png,1280,1024,1280,959,crop_bottom_65px,RGB,True,123,0.01002,1227520,0,0.0,0,0.0,1057437,86.144177,169960,13.845803,123,0.01002
Class_II_C30F3x10000,II,train,images_class2\Class_II_C30F3x10000.jpg,labels\labels\Class_II_C30F3x10000.png,labels\coloured_labels\Class_II_C30F3x10000.png,1280,1024,1280,959,crop_bottom_65px,L,True,866,0.070549,1227520,0,0.0,0,0.0,1044244,85.069408,182410,14.860043,866,0.070549
Class_II_C35F3_x10000_2,II,train,images_class2\Class_II_C35F3_x10000_2.jpg,labels\labels\Class_II_C35F3_x10000_2.png,labels\coloured_labels\Class_II_C35F3_x10000_2.png,1280,1024,1280,959,crop_bottom_65px,L,True,7134,0.581172,1227520,0,0.0,0,0.0,996254,81.1599,224132,18.258929,7134,0.581172
Class_I_C103F1x10000,I,train,images_class1\Class_I_C103F1x10000.jpg,labels\labels\Class_I_C103F1x10000.png,labels\coloured_labels\Class_I_C103F1x10000.png,1280,1024,1280,959,crop_bottom_65px,L,False,0,0.0,1227520,0,0.0,223609,18.216322,1003911,81.783678,0,0.0,0,0.0
Class_I_C103F1x10000_2,I,test,images_class1\Class_I_C103F1x10000_2.jpg,labels\labels\Class_I_C103F1x10000_2.png,labels\coloured_labels\Class_I_C103F1x10000_2.png,1280,1024,1280,959,crop_bottom_65px,L,False,0,0.0,1227520,0,0.0,193454,15.759743,1026500,83.623892,7566,0.616365,0,0.0
Class_I_C103F1x15000,I,train,images_class1\Class_I_C103F1x15000.jpg,labels\labels\Class_I_C103F1x15000.png,labels\coloured_labels\Class_I_C103F1x15000.png,1280,1024,1280,959,crop_bottom_65px,L,False,0,0.0,1227520,0,0.0,212044,17.274179,1015476,82.725821,0,0.0,0,0.0
Class_I_C103F1x20000,I,val,images_class1\Class_I_C103F1x20000.jpg,labels\labels\Class_I_C103F1x20000.png,labels\coloured_labels\Class_I_C103F1x20000.png,1280,1024,1280,959,crop_bottom_65px,L,False,0,0.0,1227520,0,0.0,233446,19.017694,988501,80.528301,5573,0.454005,0,0.0
Class_I_C104F1x10000,I,train,images_class1\Class_I_C104F1x10000.jpg,labels\labels\Class_I_C104F1x10000.png,labels\coloured_labels\Class_I_C104F1x10000.png,1280,1024,1280,959,crop_bottom_65px,L,False,0,0.0,1227520,0,0.0,288113,23.471145,850823,69.312353,88584,7.216502,0,0.0
Class_I_C104F1x15000,I,train,images_class1\Class_I_C104F1x15000.jpg,labels\labels\Class_I_C104F1x15000.png,labels\coloured_labels\Class_I_C104F1x15000.png,1280,1024,1280,959,crop_bottom_65px,L,True,1282,0.104438,1227520,0,0.0,396653,32.313364,719910,58.647517,109675,8.934681,1282,0.104438
Class_I_C104F1x25000,I,train,images_class1\Class_I_C104F1x25000.jpg,labels\labels\Class_I_C104F1x25000.png,labels\coloured_labels\Class_I_C104F1x25000.png,1280,1024,1280,959,crop_bottom_65px,L,True,248,0.020203,1227520,0,0.0,330595,26.931944,826440,67.325991,70237,5.721862,248,0.020203
Class_I_C14F1x20000,I,train,images_class1\Class_I_C14F1x20000.jpg,labels\labels\Class_I_C14F1x20000.png,labels\coloured_labels\Class_I_C14F1x20000.png,960,768,960,703,crop_bottom_65px,RGB,True,52,0.007705,674880,0,0.0,203551,30.161066,470024,69.645567,1253,0.185663,52,0.007705
Class_I_C157F1x15000,I,val,images_class1\Class_I_C157F1x15000.jpg,labels\labels\Class_I_C157F1x15000.png,labels\coloured_labels\Class_I_C157F1x15000.png,1280,1024,1280,959,crop_bottom_65px,L,False,0,0.0,1227520,0,0.0,406622,33.125489,820898,66.874511,0,0.0,0,0.0
Class_I_C157F1x15000_2,I,test,images_class1\Class_I_C157F1x15000_2.jpg,labels\labels\Class_I_C157F1x15000_2.png,labels\coloured_labels\Class_I_C157F1x15000_2.png,1280,1024,1280,959,crop_bottom_65px,L,False,0,0.0,1227520,0,0.0,363492,29.6119,864028,70.3881,0,0.0,0,0.0
Class_I_C158F1x15000,I,train,images_class1\Class_I_C158F1x15000.jpg,labels\labels\Class_I_C158F1x15000.png,labels\coloured_labels\Class_I_C158F1x15000.png,1280,1024,1280,959,crop_bottom_65px,L,False,0,0.0,1227520,0,0.0,502631,40.946868,724889,59.053132,0,0.0,0,0.0
Class_I_C158F1x20000,I,train,images_class1\Class_I_C158F1x20000.jpg,labels\labels\Class_I_C158F1x20000.png,labels\coloured_labels\Class_I_C158F1x20000.png,1280,1024,1280,959,crop_bottom_65px,L,False,0,0.0,1227520,0,0.0,381353,31.066948,842241,68.61322,3926,0.319832,0,0.0
Class_I_C158F1x20000_2,I,test,images_class1\Class_I_C158F1x20000_2.jpg,labels\labels\Class_I_C158F1x20000_2.png,labels\coloured_labels\Class_I_C158F1x20000_2.png,1280,1024,1280,959,crop_bottom_65px,L,True,121,0.009857,1227520,0,0.0,338151,27.547494,888271,72.363057,977,0.079591,121,0.009857
Class_I_C26F1x15000,I,val,images_class1\Class_I_C26F1x15000.jpg,labels\labels\Class_I_C26F1x15000.png,labels\coloured_labels\Class_I_C26F1x15000.png,1280,1024,1280,959,crop_bottom_65px,L,False,0,0.0,1227520,0,0.0,402364,32.778611,825156,67.221389,0,0.0,0,0.0
Class_I_C27F1x15000,I,train,images_class1\Class_I_C27F1x15000.jpg,labels\labels\Class_I_C27F1x15000.png,labels\coloured_labels\Class_I_C27F1x15000.png,1280,1024,1280,959,crop_bottom_65px,L,True,1495,0.12179,1227520,0,0.0,307518,25.051975,898606,73.204999,19901,1.621236,1495,0.12179
Class_I_C27F1x20000,I,train,images_class1\Class_I_C27F1x20000.jpg,labels\labels\Class_I_C27F1x20000.png,labels\coloured_labels\Class_I_C27F1x20000.png,1280,1024,1280,959,crop_bottom_65px,L,False,0,0.0,1227520,0,0.0,385425,31.398674,842095,68.601326,0,0.0,0,0.0
Class_I_C28F1x15000,I,train,images_class1\Class_I_C28F1x15000.jpg,labels\labels\Class_I_C28F1x15000.png,labels\coloured_labels\Class_I_C28F1x15000.png,1280,1024,1280,959,crop_bottom_65px,L,False,0,0.0,1227520,0,0.0,340993,27.779018,883329,71.960457,3198,0.260525,0,0.0
Class_I_C28F1x20000,I,val,images_class1\Class_I_C28F1x20000.jpg,labels\labels\Class_I_C28F1x20000.png,labels\coloured_labels\Class_I_C28F1x20000.png,1280,1024,1280,959,crop_bottom_65px,L,True,127,0.010346,1227520,0,0.0,408261,33.25901,807422,65.776688,11710,0.953956,127,0.010346
Class_I_C28F1x9500,I,train,images_class1\Class_I_C28F1x9500.jpg,labels\labels\Class_I_C28F1x9500.png,labels\coloured_labels\Class_I_C28F1x9500.png,1280,1024,1280,959,crop_bottom_65px,L,False,0,0.0,1227520,0,0.0,427212,34.802855,800308,65.197145,0,0.0,0,0.0
Class_I_C29F1x15000,I,test,images_class1\Class_I_C29F1x15000.jpg,labels\labels\Class_I_C29F1x15000.png,labels\coloured_labels\Class_I_C29F1x15000.png,1280,1024,1280,959,crop_bottom_65px,L,True,584,0.047576,1227520,0,0.0,165643,13.494118,1037424,84.513816,23869,1.94449,584,0.047576
Class_I_C29F1x20000,I,train,images_class1\Class_I_C29F1x20000.jpg,labels\labels\Class_I_C29F1x20000.png,labels\coloured_labels\Class_I_C29F1x20000.png,1280,1024,1280,959,crop_bottom_65px,L,False,0,0.0,1227520,0,0.0,353577,28.804174,868758,70.773429,5185,0.422396,0,0.0
Class_I_C30F1x10000,I,train,images_class1\Class_I_C30F1x10000.jpg,labels\labels\Class_I_C30F1x10000.png,labels\coloured_labels\Class_I_C30F1x10000.png,1280,1024,1280,959,crop_bottom_65px,L,False,0,0.0,1227520,0,0.0,352768,28.738269,874752,71.261731,0,0.0,0,0.0
Class_I_C30F1x15000,I,train,images_class1\Class_I_C30F1x15000.jpg,labels\labels\Class_I_C30F1x15000.png,labels\coloured_labels\Class_I_C30F1x15000.png,1280,1024,1280,959,crop_bottom_65px,L,False,0,0.0,1227520,0,0.0,325336,26.503519,902184,73.496481,0,0.0,0,0.0
Class_I_C30F1x20000,I,train,images_class1\Class_I_C30F1x20000.jpg,labels\labels\Class_I_C30F1x20000.png,labels\coloured_labels\Class_I_C30F1x20000.png,1280,1024,1280,959,crop_bottom_65px,L,False,0,0.0,1227520,0,0.0,309200,25.188999,918320,74.811001,0,0.0,0,0.0
Class_I_C30F1x25000,I,train,images_class1\Class_I_C30F1x25000.jpg,labels\labels\Class_I_C30F1x25000.png,labels\coloured_labels\Class_I_C30F1x25000.png,1280,1024,1280,959,crop_bottom_65px,L,False,0,0.0,1227520,0,0.0,356523,29.04417,870997,70.95583,0,0.0,0,0.0
Class_I_C75F1x10000,I,train,images_class1\Class_I_C75F1x10000.jpg,labels\labels\Class_I_C75F1x10000.png,labels\coloured_labels\Class_I_C75F1x10000.png,1280,1024,1280,959,crop_bottom_65px,L,False,0,0.0,1227520,0,0.0,250392,20.398201,977128,79.601799,0,0.0,0,0.0
Class_I_C75F1x15000,I,train,images_class1\Class_I_C75F1x15000.jpg,labels\labels\Class_I_C75F1x15000.png,labels\coloured_labels\Class_I_C75F1x15000.png,1280,1024,1280,959,crop_bottom_65px,L,False,0,0.0,1227520,0,0.0,306814,24.994623,920706,75.005377,0,0.0,0,0.0
Class_I_C75F1x25000,I,test,images_class1\Class_I_C75F1x25000.jpg,labels\labels\Class_I_C75F1x25000.png,labels\coloured_labels\Class_I_C75F1x25000.png,1280,1024,1280,959,crop_bottom_65px,L,False,0,0.0,1227520,0,0.0,226424,18.445647,1001096,81.554353,0,0.0,0,0.0
Class_I_C77F1x15000,I,train,images_class1\Class_I_C77F1x15000.jpg,labels\labels\Class_I_C77F1x15000.png,labels\coloured_labels\Class_I_C77F1x15000.png,1280,1024,1280,959,crop_bottom_65px,L,False,0,0.0,1227520,0,0.0,238998,19.469988,988522,80.530012,0,0.0,0,0.0
