patch_id,source_stem,true_type,split,y0,x0,patch_size,px_Fe2B,pct_Fe2B,px_FeTiB,pct_FeTiB,px_Alpha,pct_Alpha,px_TiB2,pct_TiB2,px_TiN,pct_TiN,tin_present,tin_pixel_count,tin_pixel_pct,total_pixels
29,Class_III_C103F2x10000_3,III,train,384,256,256,11263,17.185974,0,0.0,50986,77.798462,3178,4.849243,109,0.166321,True,109,0.166321,65536
30,Class_III_C103F2x10000_3,III,train,384,384,256,8434,12.869263,0,0.0,55466,84.634399,1636,2.496338,0,0.0,False,0,0.0,65536
31,Class_III_C103F2x10000_3,III,train,384,512,256,900,1.373291,0,0.0,61056,93.164062,3467,5.290222,113,0.172424,True,113,0.172424,65536
32,Class_III_C103F2x10000_3,III,train,384,640,256,3483,5.314636,0,0.0,55804,85.150146,6136,9.362793,113,0.172424,True,113,0.172424,65536
33,Class_III_C103F2x10000_3,III,train,384,768,256,5467,8.34198,0,0.0,53019,80.900574,7050,10.757446,0,0.0,False,0,0.0,65536
34,Class_III_C103F2x10000_3,III,train,384,896,256,1984,3.027344,0,0.0,56376,86.022949,7147,10.905457,29,0.04425,True,29,0.04425,65536
35,Class_III_C103F2x10000_3,III,train,384,1024,256,0,0.0,0,0.0,60296,92.004395,5211,7.951355,29,0.04425,True,29,0.04425,65536
36,Class_III_C103F2x10000_3,III,train,512,0,256,8721,13.30719,0,0.0,55039,83.982849,1776,2.709961,0,0.0,False,0,0.0,65536
37,Class_III_C103F2x10000_3,III,train,512,128,256,5723,8.732605,0,0.0,57190,87.265015,2623,4.00238,0,0.0,False,0,0.0,65536
38,Class_III_C103F2x10000_3,III,train,512,256,256,6892,10.516357,0,0.0,55810,85.159302,2834,4.324341,0,0.0,False,0,0.0,65536
39,Class_III_C103F2x10000_3,III,train,512,384,256,6513,9.938049,0,0.0,54636,83.36792,4339,6.620789,48,0.073242,True,48,0.073242,65536
40,Class_III_C103F2x10000_3,III,train,512,512,256,951,1.451111,0,0.0,55163,84.172058,9166,13.986206,256,0.390625,True,256,0.390625,65536
41,Class_III_C103F2x10000_3,III,train,512,640,256,0,0.0,0,0.0,56980,86.94458,8348,12.738037,208,0.317383,True,208,0.317383,65536
42,Class_III_C103F2x10000_3,III,train,512,768,256,1399,2.134705,0,0.0,58634,89.468384,5503,8.396912,0,0.0,False,0,0.0,65536
43,Class_III_C103F2x10000_3,III,train,512,896,256,3380,5.157471,0,0.0,52854,80.648804,9146,13.955688,156,0.238037,True,156,0.238037,65536
44,Class_III_C103F2x10000_3,III,train,512,1024,256,2863,4.368591,0,0.0,53581,81.758118,8936,13.635254,156,0.238037,True,156,0.238037,65536
45,Class_III_C103F2x10000_3,III,train,640,0,256,10138,15.46936,0,0.0,51865,79.139709,3439,5.247498,94,0.143433,True,94,0.143433,65536
46,Class_III_C103F2x10000_3,III,train,640,128,256,3700,5.645752,0,0.0,60887,92.906189,949,1.448059,0,0.0,False,0,0.0,65536
47,Class_III_C103F2x10000_3,III,train,640,256,256,1678,2.560425,0,0.0,63488,96.875,370,0.564575,0,0.0,False,0,0.0,65536
48,Class_III_C103F2x10000_3,III,train,640,384,256,1702,2.597046,0,0.0,59281,90.455627,4492,6.854248,61,0.093079,True,61,0.093079,65536
49,Class_III_C103F2x10000_3,III,train,640,512,256,51,0.07782,0,0.0,53988,82.37915,11301,17.243958,196,0.299072,True,196,0.299072,65536
50,Class_III_C103F2x10000_3,III,train,640,640,256,13,0.019836,0,0.0,54888,83.752441,10500,16.021729,135,0.205994,True,135,0.205994,65536
51,Class_III_C103F2x10000_3,III,train,640,768,256,2812,4.290771,0,0.0,58548,89.337158,4176,6.37207,0,0.0,False,0,0.0,65536
52,Class_III_C103F2x10000_3,III,train,640,896,256,5022,7.662964,0,0.0,56878,86.78894,3509,5.354309,127,0.193787,True,127,0.193787,65536
53,Class_III_C103F2x10000_3,III,train,640,1024,256,12775,19.493103,0,0.0,48438,73.910522,4196,6.402588,127,0.193787,True,127,0.193787,65536
54,Class_III_C103F2x10000_3,III,train,703,0,256,9056,13.818359,0,0.0,51874,79.153442,4468,6.817627,138,0.210571,True,138,0.210571,65536
55,Class_III_C103F2x10000_3,III,train,703,128,256,5393,8.229065,0,0.0,58048,88.574219,2051,3.129578,44,0.067139,True,44,0.067139,65536
56,Class_III_C103F2x10000_3,III,train,703,256,256,4203,6.413269,0,0.0,61233,93.434143,100,0.152588,0,0.0,False,0,0.0,65536
57,Class_III_C103F2x10000_3,III,train,703,384,256,4545,6.93512,0,0.0,54290,82.839966,6576,10.03418,125,0.190735,True,125,0.190735,65536
58,Class_III_C103F2x10000_3,III,train,703,512,256,342,0.521851,0,0.0,52495,80.101013,12506,19.082642,193,0.294495,True,193,0.294495,65536
59,Class_III_C103F2x10000_3,III,train,703,640,256,13,0.019836,0,0.0,55654,84.921265,9801,14.955139,68,0.10376,True,68,0.10376,65536
60,Class_III_C103F2x10000_3,III,train,703,768,256,2317,3.535461,0,0.0,59115,90.202332,4104,6.262207,0,0.0,False,0,0.0,65536
61,Class_III_C103F2x10000_3,III,train,703,896,256,4326,6.600952,0,0.0,60427,92.204285,703,1.072693,80,0.12207,True,80,0.12207,65536
62,Class_III_C103F2x10000_3,III,train,703,1024,256,15041,22.950745,0,0.0,48408,73.864746,2007,3.062439,80,0.12207,True,80,0.12207,65536
63,Class_III_C103F2x10000_4,III,train,0,0,256,1912,2.91748,0,0.0,60747,92.692566,2877,4.389954,0,0.0,False,0,0.0,65536
64,Class_III_C103F2x10000_4,III,train,0,128,256,2695,4.112244,0,0.0,59780,91.217041,3061,4.670715,0,0.0,False,0,0.0,65536
65,Class_III_C103F2x10000_4,III,train,0,256,256,7560,11.535645,0,0.0,55955,85.380554,2021,3.083801,0,0.0,False,0,0.0,65536
66,Class_III_C103F2x10000_4,III,train,0,384,256,7340,11.199951,0,0.0,55206,84.237671,2917,4.450989,73,0.111389,True,73,0.111389,65536
67,Class_III_C103F2x10000_4,III,train,0,512,256,4141,6.318665,0,0.0,58111,88.670349,3211,4.899597,73,0.111389,True,73,0.111389,65536
68,Class_III_C103F2x10000_4,III,train,0,640,256,7918,12.081909,0,0.0,55077,84.040833,2541,3.877258,0,0.0,False,0,0.0,65536
69,Class_III_C103F2x10000_4,III,train,0,768,256,6746,10.293579,0,0.0,57535,87.791443,1206,1.84021,49,0.074768,True,49,0.074768,65536
70,Class_III_C103F2x10000_4,III,train,0,896,256,2406,3.671265,0,0.0,62981,96.101379,100,0.152588,49,0.074768,True,49,0.074768,65536
71,Class_III_C103F2x10000_4,III,train,0,1024,256,4383,6.687927,0,0.0,61115,93.254089,38,0.057983,0,0.0,False,0,0.0,65536
72,Class_III_C103F2x10000_4,III,train,128,0,256,98,0.149536,0,0.0,60932,92.974854,4486,6.845093,20,0.030518,True,20,0.030518,65536
73,Class_III_C103F2x10000_4,III,train,128,128,256,311,0.474548,0,0.0,62752,95.751953,2453,3.742981,20,0.030518,True,20,0.030518,65536
74,Class_III_C103F2x10000_4,III,train,128,256,256,5322,8.120728,0,0.0,57357,87.519836,2810,4.28772,47,0.071716,True,47,0.071716,65536
75,Class_III_C103F2x10000_4,III,train,128,384,256,5195,7.926941,0,0.0,58084,88.62915,2210,3.372192,47,0.071716,True,47,0.071716,65536
76,Class_III_C103F2x10000_4,III,train,128,512,256,2563,3.910828,0,0.0,62973,96.089172,0,0.0,0,0.0,False,0,0.0,65536
77,Class_III_C103F2x10000_4,III,train,128,640,256,8549,13.044739,0,0.0,55207,84.239197,1780,2.716064,0,0.0,False,0,0.0,65536
78,Class_III_C103F2x10000_4,III,train,128,768,256,14596,22.271729,0,0.0,49160,75.012207,1780,2.716064,0,0.0,False,0,0.0,65536
79,Class_III_C103F2x10000_4,III,train,128,896,256,13010,19.851685,0,0.0,51986,79.324341,540,0.823975,0,0.0,False,0,0.0,65536
80,Class_III_C103F2x10000_4,III,train,128,1024,256,9758,14.889526,0,0.0,53559,81.724548,2116,3.22876,103,0.157166,True,103,0.157166,65536
81,Class_III_C103F2x10000_4,III,train,256,0,256,4291,6.547546,0,0.0,57748,88.116455,3459,5.278015,38,0.057983,True,38,0.057983,65536
82,Class_III_C103F2x10000_4,III,train,256,128,256,6740,10.284424,0,0.0,57038,87.033081,1720,2.624512,38,0.057983,True,38,0.057983,65536
83,Class_III_C103F2x10000_4,III,train,256,256,256,12515,19.096375,0,0.0,49673,75.794983,3185,4.859924,163,0.248718,True,163,0.248718,65536
84,Class_III_C103F2x10000_4,III,train,256,384,256,6795,10.368347,0,0.0,55014,83.944702,3534,5.392456,193,0.294495,True,193,0.294495,65536
85,Class_III_C103F2x10000_4,III,train,256,512,256,0,0.0,0,0.0,63799,97.349548,1694,2.584839,43,0.065613,True,43,0.065613,65536
86,Class_III_C103F2x10000_4,III,train,256,640,256,2830,4.318237,0,0.0,61781,94.270325,912,1.391602,13,0.019836,True,13,0.019836,65536
87,Class_III_C103F2x10000_4,III,train,256,768,256,11857,18.092346,0,0.0,52582,80.233765,1097,1.673889,0,0.0,False,0,0.0,65536
88,Class_III_C103F2x10000_4,III,train,256,896,256,15649,23.878479,0,0.0,48926,74.655151,961,1.46637,0,0.0,False,0,0.0,65536
89,Class_III_C103F2x10000_4,III,train,256,1024,256,11881,18.128967,0,0.0,50423,76.939392,3129,4.774475,103,0.157166,True,103,0.157166,65536
90,Class_III_C103F2x10000_4,III,train,384,0,256,12719,19.407654,0,0.0,50574,77.1698,2225,3.395081,18,0.027466,True,18,0.027466,65536
91,Class_III_C103F2x10000_4,III,train,384,128,256,12164,18.560791,0,0.0,49652,75.762939,3589,5.476379,131,0.19989,True,131,0.19989,65536
92,Class_III_C103F2x10000_4,III,train,384,256,256,19493,29.743958,0,0.0,38068,58.087158,7537,11.500549,438,0.668335,True,438,0.668335,65536
93,Class_III_C103F2x10000_4,III,train,384,384,256,9863,15.049744,0,0.0,49356,75.311279,5860,8.94165,457,0.697327,True,457,0.697327,65536
94,Class_III_C103F2x10000_4,III,train,384,512,256,0,0.0,0,0.0,63171,96.391296,2220,3.387451,145,0.221252,True,145,0.221252,65536
95,Class_III_C103F2x10000_4,III,train,384,640,256,2495,3.807068,0,0.0,62616,95.544434,412,0.628662,13,0.019836,True,13,0.019836,65536
96,Class_III_C103F2x10000_4,III,train,384,768,256,8757,13.362122,0,0.0,56356,85.992432,423,0.645447,0,0.0,False,0,0.0,65536
97,Class_III_C103F2x10000_4,III,train,384,896,256,8690,13.259888,0,0.0,56425,86.097717,421,0.642395,0,0.0,False,0,0.0,65536
98,Class_III_C103F2x10000_4,III,train,384,1024,256,3757,5.732727,0,0.0,60728,92.663574,1051,1.603699,0,0.0,False,0,0.0,65536
99,Class_III_C103F2x10000_4,III,train,512,0,256,14182,21.640015,0,0.0,49150,74.996948,2204,3.363037,0,0.0,False,0,0.0,65536
100,Class_III_C103F2x10000_4,III,train,512,128,256,7893,12.043762,0,0.0,53526,81.674194,3953,6.031799,164,0.250244,True,164,0.250244,65536
101,Class_III_C103F2x10000_4,III,train,512,256,256,8717,13.301086,0,0.0,49408,75.390625,7038,10.739136,373,0.569153,True,373,0.569153,65536
102,Class_III_C103F2x10000_4,III,train,512,384,256,4346,6.63147,0,0.0,56683,86.491394,4196,6.402588,311,0.474548,True,311,0.474548,65536
103,Class_III_C103F2x10000_4,III,train,512,512,256,1077,1.643372,0,0.0,62109,94.770813,2143,3.269958,207,0.315857,True,207,0.315857,65536
104,Class_III_C103F2x10000_4,III,train,512,640,256,5070,7.736206,0,0.0,59229,90.376282,1132,1.727295,105,0.160217,True,105,0.160217,65536
105,Class_III_C103F2x10000_4,III,train,512,768,256,8327,12.705994,0,0.0,57209,87.294006,0,0.0,0,0.0,False,0,0.0,65536
106,Class_III_C103F2x10000_4,III,train,512,896,256,3651,5.570984,0,0.0,61885,94.429016,0,0.0,0,0.0,False,0,0.0,65536
107,Class_III_C103F2x10000_4,III,train,512,1024,256,3817,5.82428,0,0.0,61259,93.473816,460,0.701904,0,0.0,False,0,0.0,65536
108,Class_III_C103F2x10000_4,III,train,640,0,256,6947,10.600281,0,0.0,55405,84.541321,3056,4.663086,128,0.195312,True,128,0.195312,65536
109,Class_III_C103F2x10000_4,III,train,640,128,256,3262,4.977417,0,0.0,58951,89.952087,3144,4.797363,179,0.273132,True,179,0.273132,65536
110,Class_III_C103F2x10000_4,III,train,640,256,256,1842,2.810669,0,0.0,60671,92.576599,2923,4.460144,100,0.152588,True,100,0.152588,65536
111,Class_III_C103F2x10000_4,III,train,640,384,256,3227,4.924011,0,0.0,59638,91.000366,2622,4.000854,49,0.074768,True,49,0.074768,65536
112,Class_III_C103F2x10000_4,III,train,640,512,256,5116,7.806396,0,0.0,57508,87.750244,2807,4.283142,105,0.160217,True,105,0.160217,65536
113,Class_III_C103F2x10000_4,III,train,640,640,256,7975,12.168884,0,0.0,55881,85.267639,1575,2.403259,105,0.160217,True,105,0.160217,65536
114,Class_III_C103F2x10000_4,III,train,640,768,256,5680,8.666992,0,0.0,59856,91.333008,0,0.0,0,0.0,False,0,0.0,65536
115,Class_III_C103F2x10000_4,III,train,640,896,256,4726,7.211304,0,0.0,58733,89.619446,2050,3.128052,27,0.041199,True,27,0.041199,65536
116,Class_III_C103F2x10000_4,III,train,640,1024,256,12384,18.896484,0,0.0,50299,76.750183,2826,4.312134,27,0.041199,True,27,0.041199,65536
117,Class_III_C103F2x10000_4,III,train,703,0,256,3702,5.648804,0,0.0,58650,89.492798,3056,4.663086,128,0.195312,True,128,0.195312,65536
118,Class_III_C103F2x10000_4,III,train,703,128,256,1360,2.075195,0,0.0,61665,94.093323,2332,3.55835,179,0.273132,True,179,0.273132,65536
119,Class_III_C103F2x10000_4,III,train,703,256,256,285,0.434875,0,0.0,63040,96.191406,2111,3.22113,100,0.152588,True,100,0.152588,65536
120,Class_III_C103F2x10000_4,III,train,703,384,256,3106,4.73938,0,0.0,59759,91.184998,2622,4.000854,49,0.074768,True,49,0.074768,65536
121,Class_III_C103F2x10000_4,III,train,703,512,256,5146,7.852173,0,0.0,57478,87.704468,2807,4.283142,105,0.160217,True,105,0.160217,65536
122,Class_III_C103F2x10000_4,III,train,703,640,256,5119,7.810974,0,0.0,58737,89.625549,1575,2.403259,105,0.160217,True,105,0.160217,65536
123,Class_III_C103F2x10000_4,III,train,703,768,256,2794,4.263306,0,0.0,62742,95.736694,0,0.0,0,0.0,False,0,0.0,65536
124,Class_III_C103F2x10000_4,III,train,703,896,256,5154,7.86438,0,0.0,58305,88.96637,2050,3.128052,27,0.041199,True,27,0.041199,65536
125,Class_III_C103F2x10000_4,III,train,703,1024,256,11504,17.553711,0,0.0,51200,78.125,2805,4.28009,27,0.041199,True,27,0.041199,65536
126,Class_III_C103F2x10000_5,III,train,0,0,256,6152,9.387207,0,0.0,56611,86.381531,2713,4.139709,60,0.091553,True,60,0.091553,65536
127,Class_III_C103F2x10000_5,III,train,0,128,256,2448,3.735352,0,0.0,63088,96.264648,0,0.0,0,0.0,False,0,0.0,65536
128,Class_III_C103F2x10000_5,III,train,0,256,256,8585,13.09967,0,0.0,54955,83.854675,1996,3.045654,0,0.0,False,0,0.0,65536
129,Class_III_C103F2x10000_5,III,train,0,384,256,13985,21.339417,0,0.0,49388,75.360107,2163,3.300476,0,0.0,False,0,0.0,65536
130,Class_III_C103F2x10000_5,III,train,0,512,256,12866,19.631958,0,0.0,51873,79.151917,797,1.216125,0,0.0,False,0,0.0,65536
131,Class_III_C103F2x10000_5,III,train,0,640,256,7520,11.474609,0,0.0,54899,83.769226,3015,4.600525,102,0.15564,True,102,0.15564,65536
132,Class_III_C103F2x10000_5,III,train,0,768,256,2312,3.527832,0,0.0,59466,90.737915,3656,5.578613,102,0.15564,True,102,0.15564,65536
133,Class_III_C103F2x10000_5,III,train,0,896,256,4229,6.452942,0,0.0,58242,88.870239,2970,4.53186,95,0.144958,True,95,0.144958,65536
134,Class_III_C103F2x10000_5,III,train,0,1024,256,7849,11.976624,0,0.0,54986,83.901978,2606,3.97644,95,0.144958,True,95,0.144958,65536
135,Class_III_C103F2x10000_5,III,train,128,0,256,7109,10.847473,0,0.0,54004,82.403564,4240,6.469727,183,0.279236,True,183,0.279236,65536
136,Class_III_C103F2x10000_5,III,train,128,128,256,0,0.0,0,0.0,63106,96.292114,2390,3.646851,40,0.061035,True,40,0.061035,65536
137,Class_III_C103F2x10000_5,III,train,128,256,256,4095,6.248474,0,0.0,59802,91.25061,1639,2.500916,0,0.0,False,0,0.0,65536
138,Class_III_C103F2x10000_5,III,train,128,384,256,12349,18.843079,0,0.0,51568,78.686523,1619,2.470398,0,0.0,False,0,0.0,65536
139,Class_III_C103F2x10000_5,III,train,128,512,256,15210,23.208618,0,0.0,49129,74.964905,1197,1.826477,0,0.0,False,0,0.0,65536
140,Class_III_C103F2x10000_5,III,train,128,640,256,9299,14.189148,0,0.0,51752,78.967285,4319,6.590271,166,0.253296,True,166,0.253296,65536
141,Class_III_C103F2x10000_5,III,train,128,768,256,5488,8.374023,0,0.0,54676,83.428955,5206,7.943726,166,0.253296,True,166,0.253296,65536
142,Class_III_C103F2x10000_5,III,train,128,896,256,4350,6.637573,0,0.0,59135,90.232849,2051,3.129578,0,0.0,False,0,0.0,65536
143,Class_III_C103F2x10000_5,III,train,128,1024,256,2894,4.415894,0,0.0,61201,93.385315,1441,2.198792,0,0.0,False,0,0.0,65536
144,Class_III_C103F2x10000_5,III,train,256,0,256,8189,12.495422,0,0.0,49911,76.158142,6946,10.598755,490,0.747681,True,490,0.747681,65536
145,Class_III_C103F2x10000_5,III,train,256,128,256,0,0.0,0,0.0,62373,95.173645,3017,4.603577,146,0.222778,True,146,0.222778,65536
146,Class_III_C103F2x10000_5,III,train,256,256,256,4438,6.771851,0,0.0,60125,91.743469,973,1.48468,0,0.0,False,0,0.0,65536
147,Class_III_C103F2x10000_5,III,train,256,384,256,9659,14.738464,0,0.0,55118,84.103394,759,1.158142,0,0.0,False,0,0.0,65536
148,Class_III_C103F2x10000_5,III,train,256,512,256,7452,11.37085,0,0.0,57678,88.009644,406,0.619507,0,0.0,False,0,0.0,65536
149,Class_III_C103F2x10000_5,III,train,256,640,256,3192,4.870605,0,0.0,60283,91.984558,1997,3.04718,64,0.097656,True,64,0.097656,65536
150,Class_III_C103F2x10000_5,III,train,256,768,256,6596,10.064697,0,0.0,55254,84.310913,3622,5.526733,64,0.097656,True,64,0.097656,65536
151,Class_III_C103F2x10000_5,III,train,256,896,256,6341,9.675598,0,0.0,57221,87.312317,1974,3.012085,0,0.0,False,0,0.0,65536
152,Class_III_C103F2x10000_5,III,train,256,1024,256,2275,3.471375,0,0.0,62060,94.696045,1134,1.730347,67,0.102234,True,67,0.102234,65536
153,Class_III_C103F2x10000_5,III,train,384,0,256,3401,5.189514,0,0.0,56079,85.569763,5716,8.721924,340,0.518799,True,340,0.518799,65536
154,Class_III_C103F2x10000_5,III,train,384,128,256,1437,2.192688,0,0.0,60869,92.878723,3043,4.64325,187,0.285339,True,187,0.285339,65536
155,Class_III_C103F2x10000_5,III,train,384,256,256,5716,8.721924,0,0.0,58481,89.234924,1258,1.919556,81,0.123596,True,81,0.123596,65536
156,Class_III_C103F2x10000_5,III,train,384,384,256,8262,12.606812,0,0.0,57274,87.393188,0,0.0,0,0.0,False,0,0.0,65536
157,Class_III_C103F2x10000_5,III,train,384,512,256,3250,4.959106,0,0.0,61960,94.543457,326,0.497437,0,0.0,False,0,0.0,65536
158,Class_III_C103F2x10000_5,III,train,384,640,256,4633,7.069397,0,0.0,59231,90.379333,1632,2.490234,40,0.061035,True,40,0.061035,65536
159,Class_III_C103F2x10000_5,III,train,384,768,256,11826,18.045044,0,0.0,50797,77.510071,2873,4.38385,40,0.061035,True,40,0.061035,65536
160,Class_III_C103F2x10000_5,III,train,384,896,256,10696,16.320801,0,0.0,52402,79.959106,2438,3.720093,0,0.0,False,0,0.0,65536
161,Class_III_C103F2x10000_5,III,train,384,1024,256,3795,5.79071,0,0.0,59427,90.678406,2208,3.369141,106,0.161743,True,106,0.161743,65536
162,Class_III_C103F2x10000_5,III,train,512,0,256,3152,4.80957,0,0.0,59011,90.04364,3335,5.088806,38,0.057983,True,38,0.057983,65536
163,Class_III_C103F2x10000_5,III,train,512,128,256,5563,8.488464,0,0.0,56428,86.102295,3464,5.285645,81,0.123596,True,81,0.123596,65536
164,Class_III_C103F2x10000_5,III,train,512,256,256,8360,12.756348,0,0.0,55119,84.104919,1976,3.015137,81,0.123596,True,81,0.123596,65536
165,Class_III_C103F2x10000_5,III,train,512,384,256,5551,8.470154,0,0.0,59985,91.529846,0,0.0,0,0.0,False,0,0.0,65536
166,Class_III_C103F2x10000_5,III,train,512,512,256,2702,4.122925,0,0.0,61891,94.438171,916,1.397705,27,0.041199,True,27,0.041199,65536
167,Class_III_C103F2x10000_5,III,train,512,640,256,9533,14.546204,0,0.0,53381,81.452942,2555,3.898621,67,0.102234,True,67,0.102234,65536
168,Class_III_C103F2x10000_5,III,train,512,768,256,14226,21.707153,0,0.0,49223,75.108337,2047,3.123474,40,0.061035,True,40,0.061035,65536
169,Class_III_C103F2x10000_5,III,train,512,896,256,17248,26.318359,0,0.0,45085,68.79425,2855,4.356384,348,0.531006,True,348,0.531006,65536
170,Class_III_C103F2x10000_5,III,train,512,1024,256,16259,24.809265,0,0.0,45273,69.081116,3617,5.519104,387,0.590515,True,387,0.590515,65536
171,Class_III_C103F2x10000_5,III,train,640,0,256,4472,6.82373,0,0.0,59388,90.618896,1638,2.49939,38,0.057983,True,38,0.057983,65536
172,Class_III_C103F2x10000_5,III,train,640,128,256,8376,12.780762,0,0.0,55586,84.817505,1532,2.337646,42,0.064087,True,42,0.064087,65536
173,Class_III_C103F2x10000_5,III,train,640,256,256,9324,14.227295,0,0.0,53816,82.116699,2287,3.489685,109,0.166321,True,109,0.166321,65536
174,Class_III_C103F2x10000_5,III,train,640,384,256,4453,6.794739,0,0.0,59899,91.398621,1117,1.704407,67,0.102234,True,67,0.102234,65536
175,Class_III_C103F2x10000_5,III,train,640,512,256,3925,5.989075,0,0.0,60929,92.970276,655,0.999451,27,0.041199,True,27,0.041199,65536
176,Class_III_C103F2x10000_5,III,train,640,640,256,7384,11.26709,0,0.0,57202,87.283325,923,1.408386,27,0.041199,True,27,0.041199,65536
177,Class_III_C103F2x10000_5,III,train,640,768,256,7371,11.247253,0,0.0,57075,87.089539,1090,1.663208,0,0.0,False,0,0.0,65536
178,Class_III_C103F2x10000_5,III,train,640,896,256,14049,21.437073,0,0.0,48457,73.939514,2682,4.092407,348,0.531006,True,348,0.531006,65536
179,Class_III_C103F2x10000_5,III,train,640,1024,256,19585,29.884338,0,0.0,42741,65.21759,2822,4.30603,388,0.592041,True,388,0.592041,65536
180,Class_III_C103F2x10000_5,III,train,703,0,256,3982,6.07605,0,0.0,60419,92.192078,1135,1.731873,0,0.0,False,0,0.0,65536
181,Class_III_C103F2x10000_5,III,train,703,128,256,6437,9.822083,0,0.0,58484,89.239502,573,0.874329,42,0.064087,True,42,0.064087,65536
